sid,base_uuid,exp,n_points,K,visibility,format,group,K_state,stop
exp1_P038,e0b28b0d-8194-475b-98a6-6931d1ff1004,exp1,20,4,full,lasso,clustered,2,0
exp1_P038,e0b28b0d-8194-475b-98a6-6931d1ff1004,exp1,20,4,full,lasso,clustered,3,0
exp1_P038,e0b28b0d-8194-475b-98a6-6931d1ff1004,exp1,20,4,full,lasso,clustered,4,1
exp1_P038,8ced8977-7d84-444f-9648-a0c4b65e45ce,exp1,20,5,full,lasso,clustered,2,0
exp1_P038,8ced8977-7d84-444f-9648-a0c4b65e45ce,exp1,20,5,full,lasso,clustered,3,0
exp1_P038,8ced8977-7d84-444f-9648-a0c4b65e45ce,exp1,20,5,full,lasso,clustered,4,0
exp1_P038,8ced8977-7d84-444f-9648-a0c4b65e45ce,exp1,20,5,full,lasso,clustered,5,1
exp1_P038,d764a7da-3857-4975-a325-f83a0b413cc5,exp1,40,9,full,lasso,disperse,2,0
exp1_P038,d764a7da-3857-4975-a325-f83a0b413cc5,exp1,40,9,full,lasso,disperse,3,0
exp1_P038,d764a7da-3857-4975-a325-f83a0b413cc5,exp1,40,9,full,lasso,disperse,4,0
exp1_P038,d764a7da-3857-4975-a325-f83a0b413cc5,exp1,40,9,full,lasso,disperse,5,0
exp1_P038,d764a7da-3857-4975-a325-f83a0b413cc5,exp1,40,9,full,lasso,disperse,6,0
exp1_P038,d764a7da-3857-4975-a325-f83a0b413cc5,exp1,40,9,full,lasso,disperse,7,0
exp1_P038,d764a7da-3857-4975-a325-f83a0b413cc5,exp1,40,9,full,lasso,disperse,8,0
exp1_P038,d764a7da-3857-4975-a325-f83a0b413cc5,exp1,40,9,full,lasso,disperse,9,1
exp1_P038,f54baffc-bc26-4c4d-b940-824d08daf230,exp1,15,3,full,lasso,clustered,2,0
exp1_P038,f54baffc-bc26-4c4d-b940-824d08daf230,exp1,15,3,full,lasso,clustered,3,1
exp1_P038,7cbebaed-58ae-4abe-b4a2-c59f45bf300a,exp1,10,6,full,lasso,disperse,2,0
exp1_P038,7cbebaed-58ae-4abe-b4a2-c59f45bf300a,exp1,10,6,full,lasso,disperse,3,0
exp1_P038,7cbebaed-58ae-4abe-b4a2-c59f45bf300a,exp1,10,6,full,lasso,disperse,4,0
exp1_P038,7cbebaed-58ae-4abe-b4a2-c59f45bf300a,exp1,10,6,full,lasso,disperse,5,0
exp1_P038,7cbebaed-58ae-4abe-b4a2-c59f45bf300a,exp1,10,6,full,lasso,disperse,6,1
exp1_P038,d26cc3de-4659-421d-a01c-1b05a01a5457,exp1,15,4,full,lasso,disperse,2,0
exp1_P038,d26cc3de-4659-421d-a01c-1b05a01a5457,exp1,15,4,full,lasso,disperse,3,0
exp1_P038,d26cc3de-4659-421d-a01c-1b05a01a5457,exp1,15,4,full,lasso,disperse,4,1
exp1_P038,3088609a-8abd-42eb-9289-926728077ed5,exp1,10,5,full,lasso,disperse,2,0
exp1_P038,3088609a-8abd-42eb-9289-926728077ed5,exp1,10,5,full,lasso,disperse,3,0
exp1_P038,3088609a-8abd-42eb-9289-926728077ed5,exp1,10,5,full,lasso,disperse,4,0
exp1_P038,3088609a-8abd-42eb-9289-926728077ed5,exp1,10,5,full,lasso,disperse,5,1
exp1_P038,3c4d6c38-877b-41d2-b2b5-d2f74ef0970b,exp1,15,5,full,lasso,clustered,2,0
exp1_P038,3c4d6c38-877b-41d2-b2b5-d2f74ef0970b,exp1,15,5,full,lasso,clustered,3,0
exp1_P038,3c4d6c38-877b-41d2-b2b5-d2f74ef0970b,exp1,15,5,full,lasso,clustered,4,0
exp1_P038,3c4d6c38-877b-41d2-b2b5-d2f74ef0970b,exp1,15,5,full,lasso,clustered,5,1
exp1_P038,7228f5c0-b49e-4431-9bbb-0bb8c70487cb,exp1,25,7,full,lasso,disperse,2,0
exp1_P038,7228f5c0-b49e-4431-9bbb-0bb8c70487cb,exp1,25,7,full,lasso,disperse,3,0
exp1_P038,7228f5c0-b49e-4431-9bbb-0bb8c70487cb,exp1,25,7,full,lasso,disperse,4,0
exp1_P038,7228f5c0-b49e-4431-9bbb-0bb8c70487cb,exp1,25,7,full,lasso,disperse,5,0
exp1_P038,7228f5c0-b49e-4431-9bbb-0bb8c70487cb,exp1,25,7,full,lasso,disperse,6,0
exp1_P038,7228f5c0-b49e-4431-9bbb-0bb8c70487cb,exp1,25,7,full,lasso,disperse,7,1
exp1_P038,823dc71a-6c2e-42ea-910b-4e53f7bd4a90,exp1,20,5,full,lasso,disperse,2,0
exp1_P038,823dc71a-6c2e-42ea-910b-4e53f7bd4a90,exp1,20,5,full,lasso,disperse,3,0
exp1_P038,823dc71a-6c2e-42ea-910b-4e53f7bd4a90,exp1,20,5,full,lasso,disperse,4,0
exp1_P038,823dc71a-6c2e-42ea-910b-4e53f7bd4a90,exp1,20,5,full,lasso,disperse,5,1
exp1_P038,3ee7c96c-4a8f-4fbd-8204-12e875fdbe52,exp1,40,7,full,lasso,disperse,2,0
exp1_P038,3ee7c96c-4a8f-4fbd-8204-12e875fdbe52,exp1,40,7,full,lasso,disperse,3,0
exp1_P038,3ee7c96c-4a8f-4fbd-8204-12e875fdbe52,exp1,40,7,full,lasso,disperse,4,0
exp1_P038,3ee7c96c-4a8f-4fbd-8204-12e875fdbe52,exp1,40,7,full,lasso,disperse,5,0
exp1_P038,3ee7c96c-4a8f-4fbd-8204-12e875fdbe52,exp1,40,7,full,lasso,disperse,6,0
exp1_P038,3ee7c96c-4a8f-4fbd-8204-12e875fdbe52,exp1,40,7,full,lasso,disperse,7,1
exp1_P038,37ecaaa0-dbb1-4b98-ad55-ce73229d5866,exp1,20,4,full,lasso,clustered,2,0
exp1_P038,37ecaaa0-dbb1-4b98-ad55-ce73229d5866,exp1,20,4,full,lasso,clustered,3,0
exp1_P038,37ecaaa0-dbb1-4b98-ad55-ce73229d5866,exp1,20,4,full,lasso,clustered,4,1
exp1_P038,cf70fe68-3e60-4947-ad2d-362b96f50a15,exp1,10,5,full,lasso,disperse,2,0
exp1_P038,cf70fe68-3e60-4947-ad2d-362b96f50a15,exp1,10,5,full,lasso,disperse,3,0
exp1_P038,cf70fe68-3e60-4947-ad2d-362b96f50a15,exp1,10,5,full,lasso,disperse,4,0
exp1_P038,cf70fe68-3e60-4947-ad2d-362b96f50a15,exp1,10,5,full,lasso,disperse,5,1
exp1_P038,d62793d4-4219-4f10-b2aa-86d40192d723,exp1,40,7,full,lasso,clustered,2,0
exp1_P038,d62793d4-4219-4f10-b2aa-86d40192d723,exp1,40,7,full,lasso,clustered,3,0
exp1_P038,d62793d4-4219-4f10-b2aa-86d40192d723,exp1,40,7,full,lasso,clustered,4,0
exp1_P038,d62793d4-4219-4f10-b2aa-86d40192d723,exp1,40,7,full,lasso,clustered,5,0
exp1_P038,d62793d4-4219-4f10-b2aa-86d40192d723,exp1,40,7,full,lasso,clustered,6,0
exp1_P038,d62793d4-4219-4f10-b2aa-86d40192d723,exp1,40,7,full,lasso,clustered,7,1
exp1_P038,3808a1ab-27ce-451f-bbd1-525f0e658c07,exp1,30,7,full,lasso,clustered,2,0
exp1_P038,3808a1ab-27ce-451f-bbd1-525f0e658c07,exp1,30,7,full,lasso,clustered,3,0
exp1_P038,3808a1ab-27ce-451f-bbd1-525f0e658c07,exp1,30,7,full,lasso,clustered,4,0
exp1_P038,3808a1ab-27ce-451f-bbd1-525f0e658c07,exp1,30,7,full,lasso,clustered,5,0
exp1_P038,3808a1ab-27ce-451f-bbd1-525f0e658c07,exp1,30,7,full,lasso,clustered,6,0
exp1_P038,3808a1ab-27ce-451f-bbd1-525f0e658c07,exp1,30,7,full,lasso,clustered,7,1
exp1_P038,9960e442-6168-430d-b694-abfb5f4339fa,exp1,15,4,full,lasso,clustered,2,0
exp1_P038,9960e442-6168-430d-b694-abfb5f4339fa,exp1,15,4,full,lasso,clustered,3,0
exp1_P038,9960e442-6168-430d-b694-abfb5f4339fa,exp1,15,4,full,lasso,clustered,4,1
exp1_P038,339f68e4-98bf-4d4a-81c7-06fa958f307e,exp1,20,5,full,lasso,clustered,2,0
exp1_P038,339f68e4-98bf-4d4a-81c7-06fa958f307e,exp1,20,5,full,lasso,clustered,3,0
exp1_P038,339f68e4-98bf-4d4a-81c7-06fa958f307e,exp1,20,5,full,lasso,clustered,4,0
exp1_P038,339f68e4-98bf-4d4a-81c7-06fa958f307e,exp1,20,5,full,lasso,clustered,5,1
exp1_P038,fccbc907-4526-43e2-8ded-142b804b471a,exp1,10,4,full,lasso,clustered,2,0
exp1_P038,fccbc907-4526-43e2-8ded-142b804b471a,exp1,10,4,full,lasso,clustered,3,0
exp1_P038,fccbc907-4526-43e2-8ded-142b804b471a,exp1,10,4,full,lasso,clustered,4,1
exp1_P038,839dbbc1-445d-4298-95c3-38299943cfb6,exp1,10,4,full,lasso,clustered,2,0
exp1_P038,839dbbc1-445d-4298-95c3-38299943cfb6,exp1,10,4,full,lasso,clustered,3,0
exp1_P038,839dbbc1-445d-4298-95c3-38299943cfb6,exp1,10,4,full,lasso,clustered,4,1
exp1_P038,fa83ff0a-5066-4c01-bdf6-909bc3dda074,exp1,35,10,full,lasso,clustered,2,0
exp1_P038,fa83ff0a-5066-4c01-bdf6-909bc3dda074,exp1,35,10,full,lasso,clustered,3,0
exp1_P038,fa83ff0a-5066-4c01-bdf6-909bc3dda074,exp1,35,10,full,lasso,clustered,4,0
exp1_P038,fa83ff0a-5066-4c01-bdf6-909bc3dda074,exp1,35,10,full,lasso,clustered,5,0
exp1_P038,fa83ff0a-5066-4c01-bdf6-909bc3dda074,exp1,35,10,full,lasso,clustered,6,0
exp1_P038,fa83ff0a-5066-4c01-bdf6-909bc3dda074,exp1,35,10,full,lasso,clustered,7,0
exp1_P038,fa83ff0a-5066-4c01-bdf6-909bc3dda074,exp1,35,10,full,lasso,clustered,8,0
exp1_P038,fa83ff0a-5066-4c01-bdf6-909bc3dda074,exp1,35,10,full,lasso,clustered,9,0
exp1_P038,fa83ff0a-5066-4c01-bdf6-909bc3dda074,exp1,35,10,full,lasso,clustered,10,1
exp1_P038,79a56e1c-89e6-41ff-a3c6-0f4126d8f6a3,exp1,35,7,full,lasso,clustered,2,0
exp1_P038,79a56e1c-89e6-41ff-a3c6-0f4126d8f6a3,exp1,35,7,full,lasso,clustered,3,0
exp1_P038,79a56e1c-89e6-41ff-a3c6-0f4126d8f6a3,exp1,35,7,full,lasso,clustered,4,0
exp1_P038,79a56e1c-89e6-41ff-a3c6-0f4126d8f6a3,exp1,35,7,full,lasso,clustered,5,0
exp1_P038,79a56e1c-89e6-41ff-a3c6-0f4126d8f6a3,exp1,35,7,full,lasso,clustered,6,0
exp1_P038,79a56e1c-89e6-41ff-a3c6-0f4126d8f6a3,exp1,35,7,full,lasso,clustered,7,1
exp1_P038,e8770f4c-e648-4512-9529-b68de18f7703,exp1,30,7,full,lasso,clustered,2,0
exp1_P038,e8770f4c-e648-4512-9529-b68de18f7703,exp1,30,7,full,lasso,clustered,3,0
exp1_P038,e8770f4c-e648-4512-9529-b68de18f7703,exp1,30,7,full,lasso,clustered,4,0
exp1_P038,e8770f4c-e648-4512-9529-b68de18f7703,exp1,30,7,full,lasso,clustered,5,0
exp1_P038,e8770f4c-e648-4512-9529-b68de18f7703,exp1,30,7,full,lasso,clustered,6,0
exp1_P038,e8770f4c-e648-4512-9529-b68de18f7703,exp1,30,7,full,lasso,clustered,7,1
exp1_P038,ef372ea6-6bfe-4730-a880-e08824b68faa,exp1,30,9,full,lasso,disperse,2,0
exp1_P038,ef372ea6-6bfe-4730-a880-e08824b68faa,exp1,30,9,full,lasso,disperse,3,0
exp1_P038,ef372ea6-6bfe-4730-a880-e08824b68faa,exp1,30,9,full,lasso,disperse,4,0
exp1_P038,ef372ea6-6bfe-4730-a880-e08824b68faa,exp1,30,9,full,lasso,disperse,5,0
exp1_P038,ef372ea6-6bfe-4730-a880-e08824b68faa,exp1,30,9,full,lasso,disperse,6,0
exp1_P038,ef372ea6-6bfe-4730-a880-e08824b68faa,exp1,30,9,full,lasso,disperse,7,0
exp1_P038,ef372ea6-6bfe-4730-a880-e08824b68faa,exp1,30,9,full,lasso,disperse,8,0
exp1_P038,ef372ea6-6bfe-4730-a880-e08824b68faa,exp1,30,9,full,lasso,disperse,9,1
exp1_P038,37ce66b3-c54a-46ec-981d-96c33e8fba81,exp1,15,5,full,lasso,disperse,2,0
exp1_P038,37ce66b3-c54a-46ec-981d-96c33e8fba81,exp1,15,5,full,lasso,disperse,3,0
exp1_P038,37ce66b3-c54a-46ec-981d-96c33e8fba81,exp1,15,5,full,lasso,disperse,4,0
exp1_P038,37ce66b3-c54a-46ec-981d-96c33e8fba81,exp1,15,5,full,lasso,disperse,5,1
exp1_P038,fdb55140-d76a-43e5-b66a-8883dc677b94,exp1,40,7,full,lasso,clustered,2,0
exp1_P038,fdb55140-d76a-43e5-b66a-8883dc677b94,exp1,40,7,full,lasso,clustered,3,0
exp1_P038,fdb55140-d76a-43e5-b66a-8883dc677b94,exp1,40,7,full,lasso,clustered,4,0
exp1_P038,fdb55140-d76a-43e5-b66a-8883dc677b94,exp1,40,7,full,lasso,clustered,5,0
exp1_P038,fdb55140-d76a-43e5-b66a-8883dc677b94,exp1,40,7,full,lasso,clustered,6,0
exp1_P038,fdb55140-d76a-43e5-b66a-8883dc677b94,exp1,40,7,full,lasso,clustered,7,1
exp1_P038,2f452eee-c0bb-437c-bd4e-f35ee9fe9ff6,exp1,25,7,full,lasso,clustered,2,0
exp1_P038,2f452eee-c0bb-437c-bd4e-f35ee9fe9ff6,exp1,25,7,full,lasso,clustered,3,0
exp1_P038,2f452eee-c0bb-437c-bd4e-f35ee9fe9ff6,exp1,25,7,full,lasso,clustered,4,0
exp1_P038,2f452eee-c0bb-437c-bd4e-f35ee9fe9ff6,exp1,25,7,full,lasso,clustered,5,0
exp1_P038,2f452eee-c0bb-437c-bd4e-f35ee9fe9ff6,exp1,25,7,full,lasso,clustered,6,0
exp1_P038,2f452eee-c0bb-437c-bd4e-f35ee9fe9ff6,exp1,25,7,full,lasso,clustered,7,1
exp1_P038,96d4aa75-d671-422c-9390-9242e47507dd,exp1,40,8,full,lasso,disperse,2,0
exp1_P038,96d4aa75-d671-422c-9390-9242e47507dd,exp1,40,8,full,lasso,disperse,3,0
exp1_P038,96d4aa75-d671-422c-9390-9242e47507dd,exp1,40,8,full,lasso,disperse,4,0
exp1_P038,96d4aa75-d671-422c-9390-9242e47507dd,exp1,40,8,full,lasso,disperse,5,0
exp1_P038,96d4aa75-d671-422c-9390-9242e47507dd,exp1,40,8,full,lasso,disperse,6,0
exp1_P038,96d4aa75-d671-422c-9390-9242e47507dd,exp1,40,8,full,lasso,disperse,7,0
exp1_P038,96d4aa75-d671-422c-9390-9242e47507dd,exp1,40,8,full,lasso,disperse,8,1
exp1_P038,2bb1495b-1ef6-4943-bb48-662371f50b30,exp1,25,5,full,lasso,clustered,2,0
exp1_P038,2bb1495b-1ef6-4943-bb48-662371f50b30,exp1,25,5,full,lasso,clustered,3,0
exp1_P038,2bb1495b-1ef6-4943-bb48-662371f50b30,exp1,25,5,full,lasso,clustered,4,0
exp1_P038,2bb1495b-1ef6-4943-bb48-662371f50b30,exp1,25,5,full,lasso,clustered,5,1
exp1_P038,42d361fa-4736-4e88-983e-5a08e9ba6071,exp1,20,5,full,lasso,disperse,2,0
exp1_P038,42d361fa-4736-4e88-983e-5a08e9ba6071,exp1,20,5,full,lasso,disperse,3,0
exp1_P038,42d361fa-4736-4e88-983e-5a08e9ba6071,exp1,20,5,full,lasso,disperse,4,0
exp1_P038,42d361fa-4736-4e88-983e-5a08e9ba6071,exp1,20,5,full,lasso,disperse,5,1
exp1_P038,0f18f0ad-f23d-4fc9-a761-3920c107550b,exp1,35,12,full,lasso,clustered,2,0
exp1_P038,0f18f0ad-f23d-4fc9-a761-3920c107550b,exp1,35,12,full,lasso,clustered,3,0
exp1_P038,0f18f0ad-f23d-4fc9-a761-3920c107550b,exp1,35,12,full,lasso,clustered,4,0
exp1_P038,0f18f0ad-f23d-4fc9-a761-3920c107550b,exp1,35,12,full,lasso,clustered,5,0
exp1_P038,0f18f0ad-f23d-4fc9-a761-3920c107550b,exp1,35,12,full,lasso,clustered,6,0
exp1_P038,0f18f0ad-f23d-4fc9-a761-3920c107550b,exp1,35,12,full,lasso,clustered,7,0
exp1_P038,0f18f0ad-f23d-4fc9-a761-3920c107550b,exp1,35,12,full,lasso,clustered,8,0
exp1_P038,0f18f0ad-f23d-4fc9-a761-3920c107550b,exp1,35,12,full,lasso,clustered,9,0
exp1_P038,0f18f0ad-f23d-4fc9-a761-3920c107550b,exp1,35,12,full,lasso,clustered,10,0
exp1_P038,0f18f0ad-f23d-4fc9-a761-3920c107550b,exp1,35,12,full,lasso,clustered,11,0
exp1_P038,0f18f0ad-f23d-4fc9-a761-3920c107550b,exp1,35,12,full,lasso,clustered,12,1
exp1_P038,8b29ef86-ff1a-4abf-b2f1-9672955d44a0,exp1,40,9,full,lasso,disperse,2,0
exp1_P038,8b29ef86-ff1a-4abf-b2f1-9672955d44a0,exp1,40,9,full,lasso,disperse,3,0
exp1_P038,8b29ef86-ff1a-4abf-b2f1-9672955d44a0,exp1,40,9,full,lasso,disperse,4,0
exp1_P038,8b29ef86-ff1a-4abf-b2f1-9672955d44a0,exp1,40,9,full,lasso,disperse,5,0
exp1_P038,8b29ef86-ff1a-4abf-b2f1-9672955d44a0,exp1,40,9,full,lasso,disperse,6,0
exp1_P038,8b29ef86-ff1a-4abf-b2f1-9672955d44a0,exp1,40,9,full,lasso,disperse,7,0
exp1_P038,8b29ef86-ff1a-4abf-b2f1-9672955d44a0,exp1,40,9,full,lasso,disperse,8,0
exp1_P038,8b29ef86-ff1a-4abf-b2f1-9672955d44a0,exp1,40,9,full,lasso,disperse,9,1
exp1_P038,9e6d1b9d-1ad5-4887-9b04-34fa64ea3ffe,exp1,35,10,full,lasso,disperse,2,0
exp1_P038,9e6d1b9d-1ad5-4887-9b04-34fa64ea3ffe,exp1,35,10,full,lasso,disperse,3,0
exp1_P038,9e6d1b9d-1ad5-4887-9b04-34fa64ea3ffe,exp1,35,10,full,lasso,disperse,4,0
exp1_P038,9e6d1b9d-1ad5-4887-9b04-34fa64ea3ffe,exp1,35,10,full,lasso,disperse,5,0
exp1_P038,9e6d1b9d-1ad5-4887-9b04-34fa64ea3ffe,exp1,35,10,full,lasso,disperse,6,0
exp1_P038,9e6d1b9d-1ad5-4887-9b04-34fa64ea3ffe,exp1,35,10,full,lasso,disperse,7,0
exp1_P038,9e6d1b9d-1ad5-4887-9b04-34fa64ea3ffe,exp1,35,10,full,lasso,disperse,8,0
exp1_P038,9e6d1b9d-1ad5-4887-9b04-34fa64ea3ffe,exp1,35,10,full,lasso,disperse,9,0
exp1_P038,9e6d1b9d-1ad5-4887-9b04-34fa64ea3ffe,exp1,35,10,full,lasso,disperse,10,1
exp1_P038,49f28baf-c341-4fb1-a75b-0ff70240de39,exp1,20,8,full,lasso,disperse,2,0
exp1_P038,49f28baf-c341-4fb1-a75b-0ff70240de39,exp1,20,8,full,lasso,disperse,3,0
exp1_P038,49f28baf-c341-4fb1-a75b-0ff70240de39,exp1,20,8,full,lasso,disperse,4,0
exp1_P038,49f28baf-c341-4fb1-a75b-0ff70240de39,exp1,20,8,full,lasso,disperse,5,0
exp1_P038,49f28baf-c341-4fb1-a75b-0ff70240de39,exp1,20,8,full,lasso,disperse,6,0
exp1_P038,49f28baf-c341-4fb1-a75b-0ff70240de39,exp1,20,8,full,lasso,disperse,7,0
exp1_P038,49f28baf-c341-4fb1-a75b-0ff70240de39,exp1,20,8,full,lasso,disperse,8,1
exp1_P038,f0dc058f-70fd-42c0-b2d0-5b0a93b2efaa,exp1,35,9,full,lasso,disperse,2,0
exp1_P038,f0dc058f-70fd-42c0-b2d0-5b0a93b2efaa,exp1,35,9,full,lasso,disperse,3,0
exp1_P038,f0dc058f-70fd-42c0-b2d0-5b0a93b2efaa,exp1,35,9,full,lasso,disperse,4,0
exp1_P038,f0dc058f-70fd-42c0-b2d0-5b0a93b2efaa,exp1,35,9,full,lasso,disperse,5,0
exp1_P038,f0dc058f-70fd-42c0-b2d0-5b0a93b2efaa,exp1,35,9,full,lasso,disperse,6,0
exp1_P038,f0dc058f-70fd-42c0-b2d0-5b0a93b2efaa,exp1,35,9,full,lasso,disperse,7,0
exp1_P038,f0dc058f-70fd-42c0-b2d0-5b0a93b2efaa,exp1,35,9,full,lasso,disperse,8,0
exp1_P038,f0dc058f-70fd-42c0-b2d0-5b0a93b2efaa,exp1,35,9,full,lasso,disperse,9,1
exp1_P038,5c9ae3ec-4b16-4a2a-add3-bc06d78c9e14,exp1,35,8,full,lasso,disperse,2,0
exp1_P038,5c9ae3ec-4b16-4a2a-add3-bc06d78c9e14,exp1,35,8,full,lasso,disperse,3,0
exp1_P038,5c9ae3ec-4b16-4a2a-add3-bc06d78c9e14,exp1,35,8,full,lasso,disperse,4,0
exp1_P038,5c9ae3ec-4b16-4a2a-add3-bc06d78c9e14,exp1,35,8,full,lasso,disperse,5,0
exp1_P038,5c9ae3ec-4b16-4a2a-add3-bc06d78c9e14,exp1,35,8,full,lasso,disperse,6,0
exp1_P038,5c9ae3ec-4b16-4a2a-add3-bc06d78c9e14,exp1,35,8,full,lasso,disperse,7,0
exp1_P038,5c9ae3ec-4b16-4a2a-add3-bc06d78c9e14,exp1,35,8,full,lasso,disperse,8,1
exp1_P038,c91f4a09-8df1-4eb3-859a-8dc243343b26,exp1,40,12,full,lasso,clustered,2,0
exp1_P038,c91f4a09-8df1-4eb3-859a-8dc243343b26,exp1,40,12,full,lasso,clustered,3,0
exp1_P038,c91f4a09-8df1-4eb3-859a-8dc243343b26,exp1,40,12,full,lasso,clustered,4,0
exp1_P038,c91f4a09-8df1-4eb3-859a-8dc243343b26,exp1,40,12,full,lasso,clustered,5,0
exp1_P038,c91f4a09-8df1-4eb3-859a-8dc243343b26,exp1,40,12,full,lasso,clustered,6,0
exp1_P038,c91f4a09-8df1-4eb3-859a-8dc243343b26,exp1,40,12,full,lasso,clustered,7,0
exp1_P038,c91f4a09-8df1-4eb3-859a-8dc243343b26,exp1,40,12,full,lasso,clustered,8,0
exp1_P038,c91f4a09-8df1-4eb3-859a-8dc243343b26,exp1,40,12,full,lasso,clustered,9,0
exp1_P038,c91f4a09-8df1-4eb3-859a-8dc243343b26,exp1,40,12,full,lasso,clustered,10,0
exp1_P038,c91f4a09-8df1-4eb3-859a-8dc243343b26,exp1,40,12,full,lasso,clustered,11,0
exp1_P038,c91f4a09-8df1-4eb3-859a-8dc243343b26,exp1,40,12,full,lasso,clustered,12,1
exp1_P038,8845809a-0ba9-4c73-8f4e-d60d62ca8418,exp1,30,6,full,lasso,disperse,2,0
exp1_P038,8845809a-0ba9-4c73-8f4e-d60d62ca8418,exp1,30,6,full,lasso,disperse,3,0
exp1_P038,8845809a-0ba9-4c73-8f4e-d60d62ca8418,exp1,30,6,full,lasso,disperse,4,0
exp1_P038,8845809a-0ba9-4c73-8f4e-d60d62ca8418,exp1,30,6,full,lasso,disperse,5,0
exp1_P038,8845809a-0ba9-4c73-8f4e-d60d62ca8418,exp1,30,6,full,lasso,disperse,6,1
exp1_P038,4fbeab87-3c1b-44f6-91c7-47cb4e50c315,exp1,15,3,full,lasso,clustered,2,0
exp1_P038,4fbeab87-3c1b-44f6-91c7-47cb4e50c315,exp1,15,3,full,lasso,clustered,3,1
exp1_P038,e9bc8099-ff66-4017-abd4-33cd8dbcc2d6,exp1,25,8,full,lasso,clustered,2,0
exp1_P038,e9bc8099-ff66-4017-abd4-33cd8dbcc2d6,exp1,25,8,full,lasso,clustered,3,0
exp1_P038,e9bc8099-ff66-4017-abd4-33cd8dbcc2d6,exp1,25,8,full,lasso,clustered,4,0
exp1_P038,e9bc8099-ff66-4017-abd4-33cd8dbcc2d6,exp1,25,8,full,lasso,clustered,5,0
exp1_P038,e9bc8099-ff66-4017-abd4-33cd8dbcc2d6,exp1,25,8,full,lasso,clustered,6,0
exp1_P038,e9bc8099-ff66-4017-abd4-33cd8dbcc2d6,exp1,25,8,full,lasso,clustered,7,0
exp1_P038,e9bc8099-ff66-4017-abd4-33cd8dbcc2d6,exp1,25,8,full,lasso,clustered,8,1
exp1_P038,832f32ad-e7bf-4c32-b9a1-17a590595e51,exp1,25,7,full,lasso,disperse,2,0
exp1_P038,832f32ad-e7bf-4c32-b9a1-17a590595e51,exp1,25,7,full,lasso,disperse,3,0
exp1_P038,832f32ad-e7bf-4c32-b9a1-17a590595e51,exp1,25,7,full,lasso,disperse,4,0
exp1_P038,832f32ad-e7bf-4c32-b9a1-17a590595e51,exp1,25,7,full,lasso,disperse,5,0
exp1_P038,832f32ad-e7bf-4c32-b9a1-17a590595e51,exp1,25,7,full,lasso,disperse,6,0
exp1_P038,832f32ad-e7bf-4c32-b9a1-17a590595e51,exp1,25,7,full,lasso,disperse,7,1
exp1_P038,87cc45a4-3e2e-4c67-a9d6-3ba04eda2588,exp1,25,7,full,lasso,disperse,2,0
exp1_P038,87cc45a4-3e2e-4c67-a9d6-3ba04eda2588,exp1,25,7,full,lasso,disperse,3,0
exp1_P038,87cc45a4-3e2e-4c67-a9d6-3ba04eda2588,exp1,25,7,full,lasso,disperse,4,0
exp1_P038,87cc45a4-3e2e-4c67-a9d6-3ba04eda2588,exp1,25,7,full,lasso,disperse,5,0
exp1_P038,87cc45a4-3e2e-4c67-a9d6-3ba04eda2588,exp1,25,7,full,lasso,disperse,6,0
exp1_P038,87cc45a4-3e2e-4c67-a9d6-3ba04eda2588,exp1,25,7,full,lasso,disperse,7,1
exp1_P038,7b7e1f1a-5fe8-4707-8e7e-b29230c53f78,exp1,15,6,full,lasso,disperse,2,0
exp1_P038,7b7e1f1a-5fe8-4707-8e7e-b29230c53f78,exp1,15,6,full,lasso,disperse,3,0
exp1_P038,7b7e1f1a-5fe8-4707-8e7e-b29230c53f78,exp1,15,6,full,lasso,disperse,4,0
exp1_P038,7b7e1f1a-5fe8-4707-8e7e-b29230c53f78,exp1,15,6,full,lasso,disperse,5,0
exp1_P038,7b7e1f1a-5fe8-4707-8e7e-b29230c53f78,exp1,15,6,full,lasso,disperse,6,1
exp1_P038,a817f837-f86b-4b90-88a3-572342420271,exp1,30,10,full,lasso,disperse,2,0
exp1_P038,a817f837-f86b-4b90-88a3-572342420271,exp1,30,10,full,lasso,disperse,3,0
exp1_P038,a817f837-f86b-4b90-88a3-572342420271,exp1,30,10,full,lasso,disperse,4,0
exp1_P038,a817f837-f86b-4b90-88a3-572342420271,exp1,30,10,full,lasso,disperse,5,0
exp1_P038,a817f837-f86b-4b90-88a3-572342420271,exp1,30,10,full,lasso,disperse,6,0
exp1_P038,a817f837-f86b-4b90-88a3-572342420271,exp1,30,10,full,lasso,disperse,7,0
exp1_P038,a817f837-f86b-4b90-88a3-572342420271,exp1,30,10,full,lasso,disperse,8,0
exp1_P038,a817f837-f86b-4b90-88a3-572342420271,exp1,30,10,full,lasso,disperse,9,0
exp1_P038,a817f837-f86b-4b90-88a3-572342420271,exp1,30,10,full,lasso,disperse,10,1
exp1_P038,f0443691-d86e-42b0-bb33-d31e77ba24d3,exp1,15,6,full,lasso,disperse,2,0
exp1_P038,f0443691-d86e-42b0-bb33-d31e77ba24d3,exp1,15,6,full,lasso,disperse,3,0
exp1_P038,f0443691-d86e-42b0-bb33-d31e77ba24d3,exp1,15,6,full,lasso,disperse,4,0
exp1_P038,f0443691-d86e-42b0-bb33-d31e77ba24d3,exp1,15,6,full,lasso,disperse,5,0
exp1_P038,f0443691-d86e-42b0-bb33-d31e77ba24d3,exp1,15,6,full,lasso,disperse,6,1
